gene_id	gene_name	3_2_L3	3_4_L3	3_7_L3	P1_L3	P2_L3	P3_L3
ENSG00000063515.3	GSC2	1	1	1	0	0	0
ENSG00000064195.7	DLX3	4	0	0	0	0	1
ENSG00000064201.16	TSPAN32	1	0	0	0	1	0
ENSG00000064218.5	DMRT3	4	0	0	0	0	0
ENSG00000064270.13	ATP2C2	66	53	31	19	10	31
ENSG00000064300.9	NGFR	1	1	8	3	5	7
ENSG00000064309.16	CDON	193	94	186	328	329	267
ENSG00000064692.20	SNCAIP	1	0	0	0	2	0
ENSG00000064787.14	BCAS1	11	7	1	166	236	150
ENSG00000064835.12	POU1F1	3	3	0	6	3	6
ENSG00000064886.14	CHI3L2	16	63	56	0	2	0
ENSG00000065320.9	NTN1	55	13	8	17	14	8
ENSG00000065371.18	ROPN1	1	0	0	0	0	0
ENSG00000065413.20	ANKRD44	388	1289	682	287	323	345
ENSG00000065609.15	SNAP91	15	1	0	4	3	1
ENSG00000065621.15	GSTO2	297	309	271	65	85	111
ENSG00000065717.15	TLE2	21	11	0	39	57	32
ENSG00000066056.14	TIE1	0	1	0	0	0	0
ENSG00000066294.15	CD84	0	1	0	0	0	0
ENSG00000066336.12	SPI1	1	1	1	1	0	1
ENSG00000066382.17	MPPED2	0	0	0	0	0	0
ENSG00000066405.13	CLDN18	18	10	0	6	23	8
ENSG00000066468.24	FGFR2	9	25	1	11	2	1
ENSG00000066813.14	ACSM2B	0	0	0	0	0	0
ENSG00000067445.22	TRO	474	225	281	123	149	102
ENSG00000067840.13	PDZD4	24	9	9	124	107	72
ENSG00000067842.19	ATP2B3	7	0	0	45	39	35
ENSG00000068615.20	REEP1	36	22	2	47	35	36
ENSG00000068831.19	RASGRP2	9	11	5	8	20	21
ENSG00000068976.14	PYGM	34	16	24	10	7	4
ENSG00000068985.5	PAGE1	1	0	1	2	4	1
ENSG00000069018.19	TRPC7	7	3	4	0	0	0
ENSG00000069020.19	MAST4	180	512	517	501	396	423
ENSG00000069122.19	ADGRF5	1	26	24	0	1	5
ENSG00000069188.17	SDK2	24	10	25	42	32	18
ENSG00000069206.15	ADAM7	0	0	0	0	0	0
ENSG00000069431.14	ABCC9	164	112	154	5	10	4
ENSG00000069535.14	MAOB	0	24	0	2	7	3
ENSG00000069696.7	DRD4	15	3	4	3	6	12
ENSG00000069764.10	PLA2G10	7	4	6	2	5	3
ENSG00000069812.11	HES2	29	4	7	13	11	16
ENSG00000070031.4	SCT	0	0	0	0	1	0
ENSG00000070190.13	DAPP1	0	0	0	1	0	0
ENSG00000070193.5	FGF10	0	0	0	0	0	0
ENSG00000070388.12	FGF22	31	11	13	17	16	13
ENSG00000070729.14	CNGB1	45	1	22	29	45	26
ENSG00000070748.19	CHAT	0	0	0	0	0	0
ENSG00000070886.12	EPHA8	0	0	0	0	0	0
ENSG00000070915.10	SLC12A3	0	0	0	0	0	0
ENSG00000070985.14	TRPM5	1	0	0	0	0	0
ENSG00000071073.13	MGAT4A	104	9	1	84	90	66
ENSG00000071203.9	MS4A12	0	0	0	0	0	0
ENSG00000071575.12	TRIB2	2	4	15	4	4	2
ENSG00000071677.1	PRLH	0	0	0	0	0	0
ENSG00000071909.19	MYO3B	0	0	5	0	0	0
ENSG00000071991.9	CDH19	124	0	0	76	67	58
ENSG00000072071.17	ADGRL1	132	176	87	365	345	343
ENSG00000072080.11	SPP2	0	4	0	0	0	1
ENSG00000072133.12	RPS6KA6	1117	523	461	836	831	836
ENSG00000072163.20	LIMS2	415	254	74	105	113	124
ENSG00000072315.4	TRPC5	0	0	0	4	0	0
ENSG00000072694.22	FCGR2B	0	0	0	0	0	5
ENSG00000072858.11	SIDT1	4	0	1	101	78	92
ENSG00000072952.20	IRAG1	0	1	5	1	4	1
ENSG00000072954.7	TMEM38A	29	67	14	39	36	33
ENSG00000073067.14	CYP2W1	22	4	0	5	25	11
ENSG00000073146.16	MOV10L1	0	1	0	0	2	0
ENSG00000073282.14	TP63	124	63	32	310	310	198
ENSG00000073734.10	ABCB11	0	0	15	0	1	5
ENSG00000073754.6	CD5L	0	0	0	0	0	0
ENSG00000073861.3	TBX21	0	2	0	0	0	1
ENSG00000073910.23	FRY	0	0	0	3	0	1
ENSG00000074317.11	SNCB	1	1	0	4	3	6
ENSG00000074370.18	ATP2A3	585	499	367	441	534	409
ENSG00000074660.17	SCARF1	20	29	48	5	19	8
ENSG00000074706.14	IPCEF1	1	0	3	1	0	1
ENSG00000074771.4	NOX3	0	0	0	0	0	0
ENSG00000074966.11	TXK	10	7	18	2	3	14
ENSG00000075035.10	WSCD2	0	0	1	0	0	0
ENSG00000075043.20	KCNQ2	0	0	0	0	4	0
ENSG00000075073.16	TACR2	24	25	36	13	13	18
ENSG00000075290.8	WNT8B	5	1	1	4	6	5
ENSG00000075388.4	FGF4	0	0	0	0	0	0
ENSG00000075429.9	CACNG5	9	2	0	6	16	4
ENSG00000075673.12	ATP12A	1	1	0	0	0	4
ENSG00000075884.14	ARHGAP15	0	2	0	0	0	0
ENSG00000075891.23	PAX2	4	13	0	0	9	2
ENSG00000076258.10	FMO4	80	52	110	61	61	65
ENSG00000076356.7	PLXNA2	43	373	10	67	70	52
ENSG00000076641.4	PAG1	17	18	8	13	9	11
ENSG00000076716.9	GPC4	0	0	1	1	0	1
ENSG00000076826.10	CAMSAP3	63	14	28	272	338	302
ENSG00000077009.14	NMRK2	0	0	0	0	0	0
ENSG00000077063.11	CTTNBP2	0	3	1	19	11	6
ENSG00000077080.10	ACTL6B	0	0	0	0	0	1
ENSG00000077274.9	CAPN6	0	0	0	0	0	0
ENSG00000077279.20	DCX	0	0	0	0	4	0
ENSG00000077327.16	SPAG6	0	0	0	0	0	0
ENSG00000077498.9	TYR	0	0	0	0	0	0
ENSG00000077522.15	ACTN2	2	0	0	0	0	1
ENSG00000077943.8	ITGA8	0	0	0	0	0	0
ENSG00000078018.22	MAP2	30	31	233	48	40	26
ENSG00000078043.16	PIAS2	947	833	753	925	806	959
ENSG00000078053.17	AMPH	1	6	11	4	1	1
ENSG00000078081.8	LAMP3	6	1	1	4	17	2
ENSG00000078098.15	FAP	36	18	10	4	2	1
ENSG00000078295.17	ADCY2	0	0	0	0	0	0
ENSG00000078328.23	RBFOX1	0	0	0	0	0	0
ENSG00000078549.16	ADCYAP1R1	1	0	8	0	0	0
ENSG00000078579.9	FGF20	2	0	0	0	0	1
ENSG00000078589.13	P2RY10	0	1	3	0	0	0
ENSG00000078596.11	ITM2A	1	0	1	14	15	0
ENSG00000078725.13	BRINP1	12	15	48	13	15	22
ENSG00000078898.7	BPIFB2	0	0	0	0	0	0
ENSG00000079102.16	RUNX1T1	0	0	0	0	0	0
ENSG00000079215.15	SLC1A3	0	1	0	1	0	0
ENSG00000079335.20	CDC14A	160	216	193	249	237	223
ENSG00000079557.5	AFM	1	0	0	0	0	0
ENSG00000079689.15	SCGN	0	0	0	4	0	1
ENSG00000079841.20	RIMS1	0	0	0	4	4	3
ENSG00000080166.16	DCT	0	0	5	0	0	0
ENSG00000080224.18	EPHA6	0	1	36	0	1	2
ENSG00000080293.10	SCTR	0	2	1	2	12	0
ENSG00000080511.5	RDH8	0	0	0	0	0	0
ENSG00000080572.14	DNAAF6	0	0	0	0	0	0
ENSG00000080573.7	COL5A3	1	0	0	7	3	3
ENSG00000080709.16	KCNN2	3	6	14	4	11	11
ENSG00000080854.16	IGSF9B	51	46	19	92	136	134
ENSG00000080910.14	CFHR2	0	0	0	0	0	0
ENSG00000081148.12	IMPG2	20	33	6	0	2	0
ENSG00000081189.16	MEF2C	1	2	0	0	0	1
ENSG00000081237.21	PTPRC	0	3	0	0	0	0
ENSG00000081248.12	CACNA1S	0	0	0	0	0	0
ENSG00000081277.13	PKP1	7	0	0	0	0	0
ENSG00000081479.15	LRP2	7	1	0	1	2	0
ENSG00000081665.14	ZNF506	45	172	117	36	47	80
ENSG00000081800.9	SLC13A1	0	0	0	0	0	0
ENSG00000081803.17	CADPS2	4	4	9	9	4	5
ENSG00000081985.14	IL12RB2	17	22	6	14	8	15
ENSG00000082175.16	PGR	0	0	0	0	0	0
ENSG00000082397.18	EPB41L3	0	0	0	25	35	39
ENSG00000082438.18	COBLL1	403	706	564	468	432	501
ENSG00000082482.14	KCNK2	59	45	9	13	6	6
ENSG00000082497.12	SERTAD4	69	0	1	192	174	232
ENSG00000082556.14	OPRK1	0	1	0	0	0	0
ENSG00000082684.16	SEMA5B	1	4	0	0	2	0
ENSG00000082929.8	LINC01587	7	0	2	1	0	0
ENSG00000083067.25	TRPM3	0	0	0	0	0	0
ENSG00000083307.12	GRHL2	0	1	0	0	0	0
ENSG00000083622.8	ENSG00000083622	0	0	0	0	0	0
ENSG00000083782.8	EPYC	0	0	0	0	0	0
ENSG00000083844.10	ZNF264	714	619	530	776	764	824
ENSG00000084110.11	HAL	17	1	2	12	8	7
ENSG00000084453.17	SLCO1A2	12	8	1	5	3	0
ENSG00000084674.15	APOB	0	0	0	0	0	0
ENSG00000084734.9	GCKR	8	91	45	18	13	15
ENSG00000085265.12	FCN1	0	0	0	0	0	0
ENSG00000085552.18	IGSF9	112	223	24	36	59	33
ENSG00000085563.15	ABCB1	0	1	0	0	4	0
ENSG00000085741.14	WNT11	9	24	4	5	8	14
ENSG00000085831.16	TTC39A	22	23	31	133	119	97
ENSG00000086205.18	FOLH1	0	0	0	1	0	0
ENSG00000086548.9	CEACAM6	0	0	0	36	28	7
ENSG00000086570.13	FAT2	1	6	3	3	7	1
ENSG00000086696.11	HSD17B2	0	0	0	0	0	0
ENSG00000086717.19	PPEF1	7	1	21	42	50	56
ENSG00000086967.10	MYBPC2	2	0	0	1	0	0
ENSG00000086991.13	NOX4	0	0	0	0	12	1
ENSG00000087085.16	ACHE	11	29	9	13	24	24
ENSG00000087116.17	ADAMTS2	1	0	0	0	0	0
ENSG00000087128.10	TMPRSS11E	0	4	0	0	0	0
ENSG00000087237.12	CETP	0	5	1	0	0	0
ENSG00000087250.9	MT3	8	0	0	0	0	0
ENSG00000087258.16	GNAO1	21	8	3	16	17	13
ENSG00000087301.9	TXNDC16	181	212	197	290	291	230
ENSG00000087495.17	PHACTR3	0	0	0	0	0	0
ENSG00000087589.17	CASS4	2	0	3	1	0	2
ENSG00000088320.4	REM1	8	0	0	0	0	0
ENSG00000088340.17	FER1L4	560	243	465	399	330	315
ENSG00000088386.17	SLC15A1	0	0	0	0	0	0
ENSG00000088726.16	TMEM40	12	52	87	3	13	9
ENSG00000088756.13	ARHGAP28	61	0	6	0	4	9
ENSG00000088782.5	DEFB127	0	0	0	0	0	0
ENSG00000088827.13	SIGLEC1	0	2	0	1	0	0
ENSG00000088881.22	EBF4	28	36	2	58	43	28
ENSG00000088882.8	CPXM1	0	0	0	0	0	0
ENSG00000088926.14	F11	0	0	0	0	0	0
ENSG00000089041.17	P2RX7	0	0	0	0	0	0
ENSG00000089116.4	LHX5	0	0	0	0	0	0
ENSG00000089163.4	SIRT4	44	15	22	34	34	47
ENSG00000089169.15	RPH3A	23	9	77	37	28	20
ENSG00000089225.20	TBX5	0	0	0	0	0	0
ENSG00000089250.20	NOS1	0	0	0	13	11	23
ENSG00000089356.19	FXYD3	0	0	0	0	0	0
ENSG00000089472.18	HEPH	0	0	1	0	0	0
ENSG00000089558.9	KCNH4	12	47	12	43	31	55
ENSG00000090376.11	IRAK3	82	64	4	12	8	7
ENSG00000090382.7	LYZ	0	1	0	0	1	1
ENSG00000090402.8	SI	0	0	0	0	0	0
ENSG00000090534.20	THPO	0	0	0	0	0	0
ENSG00000090539.16	CHRD	4	1	0	0	0	1
ENSG00000090659.18	CD209	0	0	0	0	0	0
ENSG00000090661.12	CERS4	65	23	2	61	70	69
ENSG00000091106.19	NLRC4	8	7	20	17	12	5
ENSG00000091128.13	LAMB4	16	9	11	3	4	1
ENSG00000091137.14	SLC26A4	9	13	4	2	20	0
ENSG00000091138.13	SLC26A3	1	0	0	2	1	0
ENSG00000091428.18	RAPGEF4	10	8	8	28	13	15
ENSG00000091482.8	SMPX	6	4	4	3	1	5
ENSG00000091656.19	ZFHX4	724	594	864	633	507	496
ENSG00000091664.9	SLC17A6	0	0	0	0	0	0
ENSG00000091704.10	CPA1	1	0	0	0	0	0
ENSG00000091972.18	CD200	0	0	0	0	0	1
ENSG00000092054.13	MYH7	0	0	0	0	4	0
ENSG00000092067.7	CEBPE	1	0	0	0	0	0
ENSG00000092068.21	SLC7A8	4	5	0	1	1	0
ENSG00000092345.14	DAZL	0	0	0	0	0	0
ENSG00000092377.15	TBL1Y	0	0	0	0	0	0
ENSG00000092421.17	SEMA6A	28	19	30	12	27	34
ENSG00000092607.15	TBX15	4	0	0	0	1	9
ENSG00000092850.12	TEKT2	7	0	0	0	1	2
ENSG00000092929.13	UNC13D	250	26	119	180	229	235
ENSG00000093072.19	ADA2	0	0	1	2	0	1
ENSG00000093134.17	VNN3P	0	0	0	0	0	0
ENSG00000094661.3	OR1I1	1	0	0	0	0	0
ENSG00000094755.17	GABRP	0	0	0	0	0	0
ENSG00000094796.5	KRT31	0	0	4	0	0	0
ENSG00000094963.14	FMO2	0	0	0	0	0	0
ENSG00000095015.6	MAP3K1	173	214	166	413	310	377
ENSG00000095110.9	NXPE1	0	0	0	0	0	0
ENSG00000095397.17	WHRN	186	111	12	149	172	104
ENSG00000095464.10	PDE6C	17	13	3	17	14	16
ENSG00000095587.9	TLL2	8	6	25	19	14	14
ENSG00000095596.12	CYP26A1	36	6	12	36	63	58
ENSG00000095627.10	TDRD1	0	0	0	1	0	0
ENSG00000095637.23	SORBS1	44	46	47	78	73	103
ENSG00000095713.14	CRTAC1	1	3	0	12	12	4
ENSG00000095777.17	MYO3A	1	0	0	0	0	0
ENSG00000095917.14	TPSD1	0	0	0	0	0	0
ENSG00000095981.11	KCNK16	0	0	0	0	0	0
ENSG00000096006.12	CRISP3	2	0	0	0	1	0
ENSG00000096088.16	PGC	0	0	0	0	1	0
ENSG00000096264.14	NCR2	0	0	0	0	0	0
ENSG00000096395.11	MLN	0	0	0	0	0	0
ENSG00000096654.16	ZNF184	256	322	305	257	292	324
ENSG00000096996.16	IL12RB1	0	0	4	0	0	0
ENSG00000097096.10	SYDE2	146	146	93	207	178	230
ENSG00000099139.14	PCSK5	131	315	110	298	271	221
ENSG00000099308.13	MAST3	257	213	275	377	397	361
ENSG00000099338.23	CATSPERG	32	15	4	6	13	23
ENSG00000099399.6	MAGEB2	0	0	0	1	4	4
ENSG00000099617.4	EFNA2	19	16	11	68	49	46
ENSG00000099721.16	AMELY	0	0	0	0	0	0
ENSG00000099834.19	CDHR5	6	0	2	21	7	11
ENSG00000099869.8	IGF2-AS	0	0	0	0	0	0
ENSG00000099953.10	MMP11	19	2	42	33	12	22
ENSG00000099985.4	OSM	1	0	2	1	0	2
ENSG00000099998.19	GGT5	84	3	80	189	182	137
ENSG00000100012.12	SEC14L3	0	0	0	0	0	0
ENSG00000100053.10	CRYBB3	0	4	6	3	5	4
ENSG00000100055.21	CYTH4	22	26	120	42	27	50
ENSG00000100060.18	MFNG	60	94	43	159	90	104
ENSG00000100078.4	PLA2G3	0	0	1	0	0	0
ENSG00000100095.19	SEZ6L	0	0	0	0	0	0
ENSG00000100122.7	CRYBB1	0	0	0	0	0	0
ENSG00000100167.21	SEPTIN3	53	49	17	98	83	85
ENSG00000100170.10	SLC5A1	0	0	0	0	0	0
ENSG00000100181.23	TPTEP1	0	0	0	0	0	0
ENSG00000100191.6	SLC5A4	0	0	0	0	0	2
ENSG00000100206.11	DMC1	110	240	173	159	177	186
ENSG00000100218.12	RSPH14	17	25	6	49	44	29
ENSG00000100234.12	TIMP3	1	2	0	61	53	53
ENSG00000100249.5	C22orf31	0	0	0	0	0	0
ENSG00000100253.13	MIOX	5	5	0	8	1	0
ENSG00000100276.10	RASL10A	17	8	2	0	4	2
ENSG00000100285.10	NEFH	18	2	0	7	2	0
ENSG00000100290.3	BIK	34	4	5	15	15	13
ENSG00000100298.16	APOBEC3H	4	2	1	2	2	0
ENSG00000100311.17	PDGFB	45	38	11	244	229	238
ENSG00000100336.18	APOL4	0	0	0	0	0	0
ENSG00000100341.13	PNPLA5	0	0	0	0	0	0
ENSG00000100346.18	CACNA1I	2	0	1	11	9	31
ENSG00000100351.17	GRAP2	3	12	10	0	0	0
ENSG00000100354.21	TNRC6B	1390	1314	1265	1367	1316	1186
ENSG00000100362.13	PVALB	0	0	0	0	1	0
ENSG00000100365.16	NCF4	0	1	0	0	0	0
ENSG00000100368.15	CSF2RB	0	1	0	0	0	0
ENSG00000100373.10	UPK3A	0	0	0	0	0	0
ENSG00000100427.16	MLC1	0	0	0	0	0	1
ENSG00000100448.4	CTSG	0	0	0	0	0	0
ENSG00000100450.13	GZMH	0	0	0	0	0	0
ENSG00000100453.14	GZMB	0	1	0	0	0	0
ENSG00000100565.16	LRRC74A	0	0	0	0	0	0
ENSG00000100593.18	ISM2	22	11	9	3	8	3
ENSG00000100604.13	CHGA	30	15	36	28	17	15
ENSG00000100628.12	ASB2	15	5	2	2	7	2
ENSG00000100652.5	SLC10A1	8	5	2	0	0	2
ENSG00000100665.12	SERPINA4	0	0	0	0	0	0
ENSG00000100678.20	SLC8A3	4	0	0	0	0	0
ENSG00000100721.11	TCL1A	0	0	0	0	0	0
ENSG00000100867.15	DHRS2	157	30	63	91	93	80
ENSG00000100884.10	CPNE6	0	0	0	0	0	0
